Review,predicted_labels
Y'all gave me my account back and I was happy but then I changed the name to crystalsays_gyatt and you asked me to change it and I was trying too but then you guys said I can only change it in 30 days so how was I supposed to change it ? And I want my account back,2
"It's a very addictive app and very fun , you get to dance , create stuff , vlogs and way more the only thing I don't like is that I don't have photo mode and front flash , and I can't search filters up for some reason all of them were there then the next second it was gone my account is @ar4ahrtsfood",2
TikTok account viral TikTok account viral video and#viralmytiktok,2
I wan to mae gro account plyz,4
It's a good but during insatlling it's so much low in speed n consume much more data ....,4
This app is Beautiful app and my request viral my account,3
viral my account and viral my all video,2
Hello TikTok My personal account are unfreeze and coming viewers on my videos,2
Dear tik tok team why my tik tok account bande? It's ok but why not open new account? please solve my problem first . Thank you💚,2
It told me im getting banned in on mounth right after i instaled it,2
Tiktok Team please unfreeze my account no views I am all community guideline fallow please check my account,2
Hi dear TikTok I'm new user please my account for you and virl more followers and likes and views,4
"Highly biased platform that suppresses free speech. They artificially enhance the reach of the narratives which they want to propagate (specifically left leaning), and suppress information they don't want to be disseminated.",4
This app ban any account which did not break any rules of tiktok,2
"Cringe, Shop items are low quality, we all know it is a Chinese company that steals data.",2
Hello TikTok my account garwo my account,2
Its really fun to use this app...cant wait to create more content.,4
"There are many videos to swipe through but somehow the tiktok algorithm picks really relevant videos, you would think just based on previous viewing patterns, but there seems to be more to it. It also seems to localise content. I uploaded some short videos, and the inbuilt video editing feature is really nice.",2
I'm unable to switch my account with my other account,2
It's a fastest way of send information,2
Follow my account,2
"It's a good app with data saving videos, lives and whatever",4
Hi dear TikTok I'm new using TikTok account please support me and viral my all videos. My I'd name AB khan302 as a request to support and viral all videos of my account,2
I love this very much.. TikTok became the the part of my life but idk why new trend filters and effect don't come on my effects 😞💔..I always have to search it but always fail to search it or whenever I try to download the effect when people share the effect..it always fail..also my effects don't work without internet but I have seen that every TikTok I'd can use their eff.but I love love and love TikTok ...and no one can change that...even my board exams..I love it ..I support it..I share it..,2
Imranfareed02 plz my account recover I'm police man my account recover plz sir,2
"Hy dear tiktok team,my tiktok account was freeze and my views was kindly 200 to 300 per video,kindly review My Account and Unfreeze it my id(hussainshahactor) Thanks.",4
"@online_work_available.01 this is my new account Thank you for creating TikTok, first of all, for the benefit of our business. This is my new account, so please bring it to the 'For You Page,' like all the videos, and support my new account as you do with others. Make my new account receive likes, go viral, and get verified. If not, I will delete the account later. Kindly bring my new account to the 'For You Page.' Thank you.""",2
I can watch video and also make a tiktok account,4
Hi dear TikTok i'm a new using on TikTok Application please chack new offical account And Virall my all video on TikTok Foryou page🥰,4
Great app but the privacy and data security bit of it looks seriously sketchy,1
Very baised and unethical content control,4
Please my all privacy 🔏 unlocked 🔓 please,2
Great platform for entertainment and information. I use it every day. It has it's issues but overall I enjoy it.,4
Very fun and a good social app for content creators,4
Please famos my account. Id @ m.o.r.o.x,2
it's a great way to interact with your friends and family members or randomly adds it pick up what you like and is really addicting. You can make videos and watch and both equally Amazing you can do what ever (unless against the law) You can download video's and upload to Tictok.,3
"No way to give feedback unless prompted by tiktok asking for a rating. And it keeps telling me I can customize my feed to suit my tastes, but I've lost count of how many times I've clicked on ""not interested in ANY live content"", and nothing changes.",2
I have seen some improvement in following ....initially I used to post content and not get any views or followers at all,2
"It hides important facts that are not shown to you, and there is no useful content that it hides",2
Hi dear TikTok i am new user of TikTok application please check my TikTok official account. @funnyvadio11 And also please viral my all vadios on foryou.,2
Please My account viral me,2
"This app is doing a lot of good work to entertain many good people, its awesome but my account's videos are not going viral😓🙃",2
Very nice app easy to access,2
"Terrible, it's like a whole stroll for the scam. Artist and b***********, and you get punished if you defend yourself. It's a lot of scamming females and men on there. And you guys do nothing about it. But punish the wrong people. You gotta wall scammers all through it. Terrible experience. I've had my information stolen twice. If i'd never got on TikTok, I would never have these problems.",2
Hi tiktok team please may profail views peerzadagujjar2 on foryou feed viral my account please followers,2
Plice my account follow karo please,2
Spams Inappropriate Sexual Content.,2
I can say for everyone this is one of the best app out right now especially for making friends,3
"TikTok has also become a platform for viral challenges and trends, where users recreate popular dances, participate in challenges, or create their own unique content. This has allowed for a sense of community and connection among users, with millions of people participating in these trends and exchanging ideas. Keep it guys , super",2
"Tiktok is absolutely the best .when it comes to communication, it passes information across the world.the videos are sharp.tiktok is entertaining. Tiltok is everything.",4
The app would not even let me in to me acount i did everything right and then it told me that my acount was suspended,2
"Pretty mid, probably steals your data",1
Tiktok is a good apps tiktok team unfreeze my account &viral my video thanks .,2
My issue m My video not viral pllz sport me And my account unfreeze And my account viral,2
Hello sir plees hilp me my account flowers no coming My account Name.niaze jee Nik name Punjabi munda,2
No my video viral 😭😭😭😭😭😭 please unferazz my account Asad silachi 786,2
Please unfreeze My account,2
Hi dear tiktok team my account video for you active.@IJAZ_KHAN_91,4
Due to account warning and not viral my video,2
Marginal videos good & bad. Content as that on every other social platform.,4
I was use a tiktok i have a some probleM first problem is my account freeZ and second problem is some effects does not work other was this is very great app❤,1
MSFpunjb please viral my account please for you my video,2
Tiktok pls give me back my account I did nothing wrong pls,2
This app is but it freez and takes more data,3
Please my account viral,2
Please my account my data ritan,2
I tried to make a new account because im 14 and need to take a pic with my id to make sure im old enough so i made a new one and it wont let me have a public account so im deleting it DONT DOWNLOAD IT ITS REALLY BAD,1
Please increase my account Tik Tok Team.,2
dear Tik Tok I m a new using on Tik Tok application please Cheak my new officlal Account... And Vrial all video on Tik Tok foryou poge,2
"Its a pretty good app, besides the fact it is probably stealing our data lol",4
They took my live function away and customer service never reply,1
It is a helpfull app...i can tell...because i content anyone for this... But i think is here added call or video call or save video system added...then this app will be very... gorgeous,3
Amazing TikTok app very interesting and TikTok policy Is very nice Vedio sound and Vedios is very interesting I am so happy upload Vedio and anyone Amazing response So nice work keep working 👍 best of luck 🤞💯. Thank you,2
Amazing app to allows you to connect with people who share interest!,2
"I like it and all but recently after i was permanently banned for some reason, it wont let me create a new account.",2
Hi TikTok I am new on TikTok application please check my account and. Viral my account,2
Your app is depleting my data bundles so much and fast 🥲 Work on it or else I will stop using it ✌🏽 Though it is the best,2
Plz viral my TikTok account eheh 💀👅,2
"It's awesome to me,it gives me more views from people n I like it,,,I learn more information from it too",2
Hi dear tik tok I'am new user on tik tok application plz check my official account and virel all my video and photos,2
I like Tik Tok. There are many things which are share,4
My account for youe for you ❤️❤️ G,4
Waste of Data,2
It makes me not to be board and it uses small amount of data,2
Doesn't share truth,4
Hi TikTok ! Dear TikTok My account is old but no views on it . Please make my video viral . Thanks you @toheed__g,2
"It's good, but I think there should be no if you skip this sound . It's just expired my account for no reason I did nothing I had 150 followers and I was like why I did nothing wrong",2
Dear tiktok Pls check my account my account name ahmedrao280. My videos do not get viral. Pls got virals my all videos on tiktok. thanks,2
Friend ma following plzzzzsir,2
It has good service and learning platform too,2
"I hope this message finds you well. I am writing to request your support and guidance in enhancing the visibility of my TikTok account.I understand that achieving virality on TikTok can be a challenging task, but I believe my content has the potential to capture a wider audience. I kindly request your assistance in promoting my account to help it reach a larger viewership and potentially go viral.Thank you for your attention, and I look forward to hearing from you soon. Sincerely, Khan",2
I'm not a content creator. I'm a content consumer and reposter. Is there any reason why I'm getting alerts about battery usage for TikTok?,4
TikTok account for the sell,4
"#FreePalestine Why you're suppoting these children's killers ??! Why You're kepping our voice away when talking about Palestine?? Blocking our videos, baning our accounts?! Where is our right?? Is that the freedom that you are providing!!?",4
It's quite informative. A platform full of every kind of information and entertainment. Kudos!,2
The app is good but i have had issues when trying to even change my user name which really sucks and even i cannot create a new account without it telling me maximum attempts reached.,2
Really laggy probably steal my information and is a dopamine trap,4
From simple photographs to ai generated content and beyond its all here on TikTok App.,4
"k: 1. **Algorithmic Content**: TikTok's algorithm does a great job of showing users content they're interested in. However, it could benefit from more transparency in how it selects and promotes videos to ensure a fair and diverse representation of creators and topics. 2. **Safety Measures**: Continue to improve safety measures to protect users, especially younger ones, from harmful content and interactions. Stricter age verification and content moderation c",2
Please TikTok unfreeze my account,2
Their policy doesn't protect other and don't do anything with report of Usage violations,4
Tiktok is very good app but my tiktok account is not viral username[ usman_mustafa460],2
Seems like we have to agree with the lies and conspiracies in order to fit or else the account could be suspended. Then suspended and you're giving me a favor.,2
I am more knowledgeable on creating more content.,4
dolly.fashion..070.jan Hello dear Tik Tok team please Mera 🙏account freeze ho gaya hai jiska name upar Maine de Diya hai please isko unfreeze karo I love you tik tok team 😎 I like Tik Tok team I like Tik tok🥰,2
Please viral my account but this app is fantastic,3
Please help. It randomly deleted my account. Please tell me if there is any way to recover my account,2
TikTok Plzz Unfreeze My Account It's Freezed Help Me To Unfreeze 💔 My I'd Theroar1,2
"By the way, the tick talk application is very good but it does not cooperate with creators and makes an account and gives a strike on videos for no reason and it looks very bad.🥺😭",4
H dear TkTok im a new Using on Tktok applcation please Cheak my new official Account And viral al Video on TkTok Foryou Page,2
"Dear,I am Very happy to using tiktok app but my account not promote and my videos not viral plz viral my account mian_sufyan.06 plz",2
i lowkey love this app but im gonna give it a 4 star bcuz you cant be able to follow as soon as you create an account. like im not a bot😭😭 idk if its the device im using or what the tiktok mods are thinking about me... also i literally dont post like every 2 seconds jesus christ why would anyone do that fr😭 anyways i really really recommend this app if anyones reading this but there might be some bugs so be careful!,1
Unfreeze my TikTok account no view no likes plZzzzz 🙏😔😢,4
Sir mere account main analytics turn on nahi ho raha.Why?I have uploaded many public videoes but they said post atleast one public video. I don't know what to do plz help me.,2
The best app with all type of content!!!,2
Hi dear TikTok im a new using on T&Tok application please Cheak my new official Account And viral al Video on T&Tok Foryou Page,2
My experience with TikTok has been disappointing with its biased content moderation. It consistently removes comments defending my country while allowing offensive content to remain unchecked. This selective approach undermines the platform's integrity and its claim to foster open dialogue. I strongly discourage people seeking a fair and unbiased platform from using TikTok.,2
Garwo my account plz varil,4
plZzz TikTok team my account viral kar do,2
Verify account,4
Can't use this account,3
Good service,2
Plz tiktok team viral my account,2
Hi dear TikTok I am using a TikTok application please check my official account All video viral on for you page Multan explorer,4
My TikTok account is very week 😔,2
TikTok taem unfreeze my account please help me my videos for you please viral my video please.,2
"I just updated bc I was hoping to fix a bug (can't send videos to one of my friends), & it was the worst decision of my life. The biggest, most annoying thing is that anytime I select something (conversations, favorites categories, filters, etc) the app takes 2+ full seconds to animate the screen bouncing & shrinking for no reason. I hate that the personal stuff tab was replaced with the shop, & the personal tab is now a sub tab that you have to navigate to through your fyp. Everything is worse.",2
"It's a cool app,I rate it 4 star. Plz make my account viral .",1
"The app is good, it have help me to do more content creation. But since the last update I can't use the music on my files.",4
"Saudia Arabia and Saudi people are RED line. If you think you can cross it, we will respond and surely overcome your policies. TIK TOK Administration tried to shut Saudis mouth, suppress our freedom of speach, and our Right to defend by deleting any comments or videos that we post in reply to whom ever that is trying to abuse our Country, Rulers, or Culture.",2
sir ihave 127500 follower but like views are not comming i am very working I think my account has been freeze please unfreeze my account So I am giving the screenshot below please check my account,2
This app is very good and very helpful but in my tiktok account live option is not showing. Think you for this app.,3
Hi tiktok Please make my account viral and why are you not making me viral? I am working so hard on Tik Tok but you are not making me successful. I have created many accounts but you are not making me viral.Please make my account viral My account: @hero.song,2
"hi there is New TikTok account hisports404 corner, I create a latest matches highlight videos,",4
"Can't follow or like people. I get no error but when I like or follow someone, if I refresh the page, it goes away. I have good internet and have 0 problem on other apps (like Instagram) Was kinda excited for it but it's useless, removed account and uninstalled.",4
"Bad content to feed, don't like PH content but very hassle, please fix now.",4
Hi dear TikTok iam new using TikTok application please check my official account and unfreeze it and viral all videos on for you page,4
micro tiktok account,4
"Community guidelines are heinous, same content. Can't say anything off the narrative you get video or comments removed, but so much t and a and cooters that's fine, should be more than a bot analysising content.",2
Excellent 👌 easy to use so many options for content creator,4
Can you upload video with this app? Can send digital gifs with this app! Does this app allow users to download and view content offline?,3
"Tiktok, please listen. My account, ""_sumasluvv_"" has been banned for no reason, I haven't done anything to violate the community guidelines and I don't know what to do. Please try to help me out.",4
"Good. However would like to be able to look for people by the following; Geagraghic Area; Employment, and Life Style / Anithiy; Keep up the good work",4
"Dear TikTok team I have a problem my account first video viral and other videos were not going viral most views come 100 , 120 please viral my account. Account name is sheikh_writes321 please support me",2
My account is unfreeze pleas TikTok team please my our views and likes,4
"Terrible App, I think that Kids should not be be exposed to most of the shared content.",2
Bad app and collecting your data.,4
"Biased, weak, do not trust, leak data and sell your personal information, you cannot tell or present the facts as they are, comments that oppose a particular party or group are deleted. It is a means of obscuring and falsifying facts, wasting time or wasting youth by displaying sexual desires and enhancing desires, in conclusion, satanic.",2
"Very bad at removing pages I've reported in the past. I have reported multiple fake pages of celebrities follow requests and when I report them, TT says no violations found. They're allowing fake pages as well as racist content as well.",2
The other day and night and the family of websites focused on the right now,4
Please atude king of mys account for again later please,4
TikTok team please unfreeze my account,2
thank you Tik Tok apps please my account for you trending my account please please,2
Fantastic real super I'm crying whilst trying to express my words for this app truly amazing I recommend downloading right away you will get used to the black bags and pale skin tho,4
Only place where information gets passed for a little bit until someone bans it,4
Please tik tok family my TikTok account viral please 🥺🙏,2
hallo TikTok not ran may account plz set my account,4
"Very entertaining, it allows me an opportunity to be creative, and there's much information over many different things that I or anyone can benefit from..",4
"I can't even get on, when I try to or when I try to make an account, it says it's suspended. I didn't even do anything wrong it still says it no matter what.",4
Hi dear I am using pleasetik Tok application official account add virl tik Tok for you page,3
my video standing my account,2
Hello Tiktok team Please remove account warning my first mistake,2
Keep banning my account for no reason..,4
I dear tiktok team I am old user people don't like my videos please solve my problem and Unfreez my account. Thanks!,2
"Chinese spy platform, bad content, no privacy",2
"MALWARE!!!! Keeps moving out of the folders that I put it in. MALWARE!!! Also won't even update itself unless I tell it. Figures another pos from China. Tries unsuccessfully to censor content. The idea and concept are good to bad it's from a Chinese company. And ads are malware, try taking control of the device without authorization.",2
I tried making my first account for Tiktok and right when I finished signing up it said I was permanently banned for violations? I hadn't even done anything yet??? I'm so confused,4
Hi dear my new account please my support and followers like do Thank you very much my tiktok account name raja aman khan 313,4
Because my account is warning 🙂🥺,2
"Awsome app! Great features, secure privacy and 100% financial freedom for all those stars out there!",1
Dear TikTok team new account please viral account please support me,3
"I like a lot of the content, but this app RUNS WAY TO MUCH IN THE BACKGROUND! I constantly get notifications that It's using a lot of CPU in the background even though I haven't opened the app all day long since I rebooted my phone. You need to make this App less intensive in it's background activity & CPU usage.",2
I'm just blocking my content and comments even though I don't violate community guidelines,2
"Dear Tik Tok team🥺, I gave you a feedback 😣which gave me a little better result. But the result was not so good.😔 My account is very slow.😭 Followers, views, likes, comments are all getting slow.🥺 Please, please, at least 10k views, 1000 likes, 50 comments.🙏🏻😣 I work hard to post videos but the videos do not go viral.😭🥺 If my video doesn't go viral now, I will have to uninstall Tik Tok.😔💔 Thankyou so much To All ❤️ But please support & help🙏🏻🥺",2
"I am not a very open individual generally, however this forum shows me our lives, loves, needs, & wants stem from experience & choice of Paths we've walked to reach this point in time; our virtual meeting as we seek closeness to help share Life and Love. I've had an amazing time with the app, BRAVO!",4
Dear TikTok team my vedio vedio is only 100.500 veiws plz unfreeze my account thank you,2
I ABSOLUTELY love TIK TOK! You can EXERCISE your RIGHT to FREE speech! YouTube has become CORRUPTED with it's RIDICULOUS censoring! TIK TOK isn't just about this! It's about LEARNING and CONNECTING with the MOST incredible PEOPLE on the PLANET! PEOPLE who BRING a WEALTH of VALUABLE information and learning to the TABLE! I BELIEVE in the FUTURE that TIK TOK will OVERTAKE YouTube. PEOPLE will TIRE over YouTubes CENSORING FREE SPEECH! YOU can FIND any TOPIC you WANT to learn on TIK TOK.,3
My TikTok is disable in mobile I can't open it pls help Since 26 Oct it has crushed and alot of data inside. Pls help to revive. Thx,2
Tik tok team plzz viral my account in for u feed malikshakil086,2
Nice one 💞💞💞 I need more likes follower's comment and share,4
Well so far i haven't and it's got extra features that help out so im enjoy.. although at first i only like the wrong content that I didn't but now I'm good,2
Great app and TikTok team please viral my account @afghanonlinestore please,2
I loved the app...but when I tired to get my account back it wouldn't let me?,4
